event_id,user_id,device_model,os_type,roaming_status,network_type,event_time,location,event_type,is_fraud
2538fe2f-f2bd-4ba1-bc95-17be06e413ec,8895751229451,Samsung Galaxy S22,iOS 16,True,WiFi,2023-12-22 13:21:54,"54.2450,113.0615",app_launch,False
7701c86c-c058-42c9-afd8-696ef98650e9,7447502899693,Oppo F21,iOS 15,True,4G,2023-10-28 18:32:50,"31.2602,91.3589",SIM switch,False
59a29b35-c163-4b3f-8d85-430a657f7183,9352375214527,Vivo V25,iOS 15,True,WiFi,2023-08-13 04:05:10,"-76.4023,-8.5953",location_change,False
ec95545b-cd8e-42c2-9d50-e100c545fff5,8127257625836,Pixel 7,Android 13,False,4G,2023-10-17 23:13:51,"39.1362,-104.7381",power_on,False
5fa09acf-6786-4187-87b3-3ad45948cfe0,9497361957131,Oppo F21,Android 13,True,WiFi,2023-03-27 12:17:27,"32.2027,83.6421",,False
39009fa2-9d10-42e6-ba42-1666713735b0,2605817292422,,iOS 15,True,2G,2023-03-25 02:42:54,"-83.3894,-99.1551",app_launch,False
4f1c4dc4-8cfd-4fc7-bbbf-498956deb461,3403102134543,Pixel 7,Android 11,False,4G,2023-11-26 15:01:10,"-56.2381,49.9675",app_launch,False
42e75750-3a2d-4a21-9109-b18e1d9d3eb7,3814785005451,Oppo F21,Android 13,True,5G,2023-08-19 03:06:42,"51.2451,-104.9303",app_launch,False
8aa02314-f7fc-400f-9b1a-6fde63eea51b,2749836570262,Pixel 6,Android 12,True,5G,2023-02-25 21:01:38,"-13.7712,169.7228",location_change,False
bda8c0de-d3d7-4d4e-9dd4-80711e8d5867,5471405569832,Vivo V25,iOS 16,False,3G,2023-05-16 21:06:49,"40.1368,-88.0211",location_change,False
794eb774-44fe-4d6e-8e64-2a4739b2948a,3325568223190,Oppo F21,Android 11,False,,2023-02-16 22:58:46,"-72.1664,-156.0746",SIM switch,False
ae826c99-dde4-4ff1-838c-3944e4e05454,4556696680098,Vivo V25,Android 12,True,WiFi,2023-05-20 00:23:58,"52.1567,-54.1561",SIM switch,False
a5036b64-6c8f-4202-93da-1b63a9a868e2,6621385567446,Vivo V25,Android 11,True,WiFi,2023-07-28 05:03:48,"43.5631,-177.8660",app_launch,False
d1163107-3445-4298-9a28-384cd33121f9,3945085273693,Pixel 6,Android 13,True,5G,2023-12-12 10:14:15,"-58.7524,53.0330",power_on,False
602b94d6-f9b8-4ab0-a0f7-4966a07ffe8a,8434435264642,Realme GT,iOS 16,False,3G,2023-07-01 20:18:35,"45.9774,141.3286",location_change,False
0fcfb18f-cdc4-4615-a218-6072bebd0e05,2623632453305,Realme GT,iOS 16,False,5G,2023-10-06 00:46:15,"-74.6077,103.0767",app_launch,False
1beda5d8-33ac-4724-9c68-a3f50857b318,5508569599129,Pixel 6,Android 13,False,WiFi,2023-10-14 18:45:23,"75.5901,100.0937",app_launch,False
acb25e83-b571-4d47-8343-82561bf2b604,6878273349738,iPhone 14,Android 11,False,,2023-06-29 03:10:04,"-38.6683,-116.5362",app_launch,False
6a2f4e92-6f3f-4eb7-b543-fda32322ac4d,6048760547308,Realme GT,Android 12,True,WiFi,2023-05-17 15:47:47,"63.6244,-32.1462",power_on,False
91e1ec8f-394b-49e0-83cb-616e9650ff00,6164703022762,OnePlus 10,Android 11,False,3G,2023-06-13 08:45:55,"35.1122,117.0287",power_on,False
3c9345c0-0252-4548-87aa-204b6f40d3ec,3825051710876,,,True,5G,2023-09-04 09:49:38,"-18.8799,36.6193",power_on,False
e3e25a4b-ee4e-4056-a13c-761acffb6117,8155674619882,iPhone 14,iOS 16,False,3G,2023-12-20 20:54:36,"-86.1837,-177.2718",power_on,False
ea196955-5fd5-46db-8f85-6d86c3272dee,3313612784009,Realme GT,iOS 15,True,4G,2023-02-28 08:53:39,"-69.1180,-150.5100",power_on,False
129d0fe4-9db9-45df-8470-6de6a8d0c8ca,5768434183910,Vivo V25,Android 13,True,WiFi,2023-07-09 19:46:00,"-6.9296,136.0091",app_launch,False
3cf35780-f552-4d9c-97bf-695af621f588,6890585391876,Pixel 6,Android 12,False,5G,2023-03-26 16:27:23,"-37.0174,115.8033",SIM switch,True
7170d6b4-4103-451f-9bd0-1b97776e394f,5305848270569,Oppo F21,Android 13,False,2G,2023-02-01 23:29:05,"28.5591,90.6108",power_on,False
fd6f1589-5eac-407f-a683-08eb7169a8b7,2641689574702,Samsung Galaxy S22,iOS 15,True,5G,2023-10-19 22:23:08,"-81.2829,-52.1582",power_on,False
1582e18b-8294-48f6-9252-d8841a76bd80,4829881199189,Oppo F21,Android 12,True,,2023-01-11 23:16:02,"-62.3088,-138.7465",power_on,False
