user_id,timestamp,domain,ip_dst,port,protocol,duration,bytes_sent,bytes_received,vpn_usage,is_fraud
4844398147930,,fileshare.cc,184.214.112.229,53047,UDP,2023-04-30T18:23:57.000Z,3537,44128,False,False
5010044591513,2023-05-29 02:54:18,youtube.com,117.186.83.189,43921,TCP,701,4020,49745,True,False
3514526621865,2023-05-16 05:05:01,twitter.com,192.219.204.185,65375,HTTPS,193,2514,89202,True,False
5633065750027,2023-09-14 06:30:16,youtube.com,77.101.78.191,35349,DNS,2454,329,47586,False,False
4537721043548,2023-09-06 14:31:36,flipkart.com,116.61.126.115,1379,UDP,30,974,4127,True,False
8448994987743,2023-07-30 17:00:13,youtube.com,187.173.55.127,35147,HTTPS,1895,1245,72142,True,False
7871884575560,2023-05-16 16:33:58,amazon.in,188.249.79.97,63486,DNS,1285,9581,69625,True,False
5197532457626,2023-05-16 14:24:36,facebook.com,238.37.4.234,36897,TCP,2073,5728,32028,True,False
4704859533483,,twitter.com,232.26.47.216,,UDP,06/25/2023 07:24:45,7249,56067,True,False
7219554139843,,netflix.com,,48272,HTTPS,3540,4075,91927,True,False
7177361804376,,twitter.com,8.59.133.91,64458,TCP,1700917368,5149,67043,True,False
8079507048708,,netflix.com,171.194.89.154,,HTTP,2023-12-23T10:45:52.000Z,5289,57964,False,False
5303755717008,,flipkart.com,162.99.196.253,9672,TCP,2023-09-01 22:15:20,1756,28693,False,False
5877526615983,2023-09-24 17:38:37,facebook.com,183.146.120.139,58526,UDP,1569,3515,53434,False,False
4858977561465,2023-05-20 15:52:05,fileshare.cc,172.207.84.239,64273,TCP,2425,454,56189,False,False
1917144821246,2023-06-29 08:09:49,fileshare.cc,244.126.102.10,15634,TCP,893,4208,22002,True,False
1724915898950,2023-06-27 19:23:47,instagram.com,166.174.6.215,6917,HTTP,3395,2516,96190,False,False
7668659091022,2023-06-22 01:02:41,instagram.com,55.181.132.174,39070,HTTP,2117,1412,53281,True,False
8483309456386,2023-09-10 12:02:37,flipkart.com,65.118.61.98,48686,UDP,3026,9669,68775,True,False
9256148371025,,netflix.com,65.244.58.33,4856,TCP,09/03/2023 16:02:13,4988,32540,False,False
3762012668852,2023-05-03 06:19:42,youtube.com,,18882,HTTPS,957,9673,25938,True,False
5792937298664,2023-09-14 19:39:36,flipkart.com,,15003,DNS,85,4425,99135,False,False
6070189432535,2023-12-06 14:34:48,fileshare.cc,81.129.165.59,26489,TCP,2223,898,47429,False,False
1242884004126,2023-10-10 14:51:16,zoom.us,234.58.236.60,10091,HTTP,1120,7915,31956,True,False
7070869019666,,amazon.in,83.96.122.196,50827,HTTP,2889,6256,87001,True,True
6953962936432,2023-11-16 14:28:18,instagram.com,220.194.162.249,2353,UDP,1178,1490,12913,True,False
4168794742374,,snapchat.com,159.123.254.73,41806,HTTP,2023-03-29 06:22:26,4722,20716,False,False
6203674193917,2023-12-25 10:44:56,amazon.in,145.25.254.146,15082,HTTP,779,2250,82252,False,True
3894079842969,2023-12-05 17:32:36,instagram.com,120.38.72.115,47463,HTTPS,3296,1489,1834,True,False
3050453017563,,facebook.com,30.49.120.69,24315,DNS,3041,6807,64149,False,False
3151642064864,2023-08-21 03:20:15,snapchat.com,13.170.124.64,13449,DNS,885,3827,19350,True,False
5665082865198,2023-01-27 04:36:54,twitter.com,17.243.229.185,7147,UDP,178,8553,84333,True,False
6719660143946,2023-07-15 21:45:01,facebook.com,155.220.50.58,42659,DNS,881,3753,59451,True,False
3288409124029,2023-10-12 02:11:01,twitter.com,172.62.210.181,61678,TCP,2460,1707,27894,False,False
6978257482247,,netflix.com,103.35.72.15,34766,HTTPS,29/06/2023 00:13:20,5324,74405,True,False
8560624947078,,flipkart.com,79.23.112.202,,HTTP,2023-02-26T10:18:45.000Z,4196,15739,True,False
8114928575066,2023-12-30 23:18:24,facebook.com,6.166.87.235,60279,HTTPS,997,6570,51883,False,False
4114174929455,2023-11-18 17:59:24,snapchat.com,115.165.161.77,30732,HTTP,2423,8322,60531,True,False
2484831679063,2023-09-16 23:31:29,fileshare.cc,113.224.81.186,18540,HTTP,215,5492,12397,False,False
8450352878027,2023-09-18 13:10:25,instagram.com,244.109.174.248,65535,TCP,3229,8853,69023,False,False
6014849321798,2023-08-18 08:31:11,zoom.us,208.240.99.188,37384,HTTPS,3188,8651,21251,True,False
4908035861079,2023-08-19 12:43:40,amazon.in,129.191.120.197,24571,HTTP,3438,5503,18045,False,False
6296715332991,2023-03-04 01:44:18,amazon.in,160.234.32.56,32757,TCP,2356,2362,215,True,False
7064783988039,2023-05-04 23:55:27,snapchat.com,86.68.22.180,53315,HTTPS,1961,2219,59998,True,False
5807494009897,,amazon.in,230.197.173.95,32606,DNS,1678002837,1303,23662,False,False
2009093565578,2023-02-08 23:12:40,instagram.com,192.81.15.73,44440,TCP,967,6011,74359,True,False
4275924779019,2023-09-13 18:51:01,twitter.com,199.133.228.109,18716,HTTPS,556,7416,93512,True,False
3442943320299,2023-05-02 17:59:12,instagram.com,95.239.66.44,26094,HTTPS,3151,9429,41563,False,False
7086937045938,2023-09-23 10:20:30,facebook.com,245.140.64.155,6123,UDP,2379,9924,73884,True,False
2281848211445,2023-12-19 02:10:52,flipkart.com,119.104.174.73,47079,HTTP,536,8447,41837,True,False
9214188196299,,fileshare.cc,101.234.123.110,3189,HTTPS,3453,7720,1081,False,False
8922085454844,,snapchat.com,250.49.201.191,22223,HTTP,816,6586,5948,False,False
1295561390695,,amazon.in,204.13.242.135,51309,DNS,2955,7881,82457,False,False
2098340828707,2023-12-28 05:01:38,zoom.us,170.244.192.160,30125,HTTP,2769,4341,25210,False,False
6107345225109,2023-01-22 10:28:20,instagram.com,168.131.245.109,35297,DNS,563,9624,6663,True,False
6649115702296,2023-05-27 23:30:59,youtube.com,60.19.89.213,11521,TCP,1627,3062,37951,True,False
9073383682374,2023-11-28 09:22:00,fileshare.cc,203.151.98.89,41860,HTTPS,356,1572,18440,True,False
8130331689910,,youtube.com,241.151.188.113,8754,HTTPS,12/18/2023 18:17:46,9008,99277,True,False
9601029126786,,fileshare.cc,132.212.233.29,44091,TCP,1676552695,9485,55544,True,False
7643913975574,2023-07-12 02:55:18,netflix.com,90.60.91.201,47701,TCP,1223,8930,49722,True,False
5303766293800,2023-01-23 14:38:45,zoom.us,194.28.71.148,60057,HTTP,3165,5263,18787,True,False
